ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.001841,16.471364,4.815084,1.399545,72545528832.06,0.00872,2.6e-05
0.002204,16.314066,4.769101,1.38618,71852733877.32,-0.00955,2.6e-05
0.001634,16.269123,4.755963,1.382361,71654792461.68,-0.00275,2.5e-05
0.005009,16.561249,4.84136,1.407183,72941411663.34,0.01796,2.7e-05
0.004514,16.905806,4.942085,1.436459,74458962516.58,0.02081,2.8e-05
0.000117,16.913297,4.944275,1.437096,74491952752.52,0.00044,2.7e-05
0.002407,17.227893,5.036241,1.463827,75877542662,0.0186,2.6e-05
0.001219,17.138008,5.009965,1.456189,75481659830.72,-0.00522,2.6e-05
0.00105,17.078085,4.992447,1.451098,75217737943.2,-0.0035,2.5e-05
0.000985,17.115537,5.003396,1.45428,75382689122.9,0.00219,2.4e-05
0.002788,17.018162,4.97493,1.446006,74953816055.68,-0.00569,2.4e-05
0.006364,16.78596,4.90705,1.426276,73931118741.54,-0.01364,2.6e-05
0.002269,16.890826,4.937706,1.435186,74392982044.7,0.00625,2.6e-05
0.002356,17.033143,4.979309,1.447279,75019796527.56,0.00843,2.4e-05
0,17.033143,4.979309,1.447279,75019796527.56,0,1.2e-05
0,17.033143,4.979309,1.447279,75019796527.56,0,8e-06
0.00039,17.048124,4.983689,1.448552,75085776999.44,0.00088,7e-06
0.001326,16.98071,4.963982,1.442824,74788864875.98,-0.00395,8e-06
0.003126,16.890826,4.937706,1.435186,74392982044.7,-0.00529,1.2e-05
0.006433,17.055614,4.985878,1.449188,75118767235.38,0.00976,1.9e-05
0.010296,16.77847,4.90486,1.42564,73898128505.6,-0.01625,3e-05
0.001975,16.830902,4.920188,1.430095,74129060157.18,0.00313,2.9e-05
0.003584,16.965729,4.959602,1.441551,74722884404.1,0.00801,2.9e-05
0.001894,17.033143,4.979309,1.447279,75019796527.56,0.00397,2.9e-05
0.004787,17.415153,5.090982,1.479738,76702298560.5,0.02243,3e-05
0.00151,17.332759,5.066896,1.472737,76339405965.16,-0.00473,2.9e-05
0.003019,17.197932,5.027482,1.461281,75745581718.24,-0.00778,2.9e-05
0,17.197932,5.027482,1.461281,75745581718.24,0,2.7e-05
0.003461,17.415153,5.090982,1.479738,76702298560.5,0.01263,2.8e-05
0.00297,17.265345,5.047189,1.467009,76042493841.7,-0.0086,2.8e-05
0.005064,16.276614,4.758153,1.382998,71687782697.62,-0.05727,2.9e-05
0.006648,15.939546,4.659617,1.354358,70203222080.32,-0.02071,6.6e-05
0.000464,15.954527,4.663997,1.355631,70269202552.2,0.00094,3.6e-05
0.005347,16.149277,4.720928,1.372178,71126948686.64,0.01221,4.2e-05
0,16.149277,4.720928,1.372178,71126948686.64,0,3.1e-05
0.003224,16.029431,4.685893,1.361995,70599104911.6,-0.00742,3.1e-05
0.004401,16.2092,4.738446,1.37727,71390870574.16,0.01121,3.3e-05
0.000552,16.231671,4.745015,1.379179,71489841281.98,0.00139,2.9e-05
0.002215,15.205488,4.44503,1.291986,66970178958.2,-0.06322,4.8e-05
0.005948,14.973286,4.37715,1.272256,65947481644.06,-0.01527,4.9e-05
0.006223,14.756065,4.31365,1.253799,64990764801.8,-0.01451,5.1e-05
0.007232,14.988267,4.381529,1.273529,66013462115.94,0.01574,5.3e-05
0.004071,14.898382,4.355253,1.265892,65617579284.66,-0.006,5.2e-05
0.003212,14.935834,4.366202,1.269074,65782530464.36,0.00251,5e-05
0.010132,15.205488,4.44503,1.291986,66970178958.2,0.01805,5.4e-05
0.001964,15.280392,4.466927,1.29835,67300081317.6,0.00493,5.2e-05
0.008942,15.939546,4.659617,1.354358,70203222080.32,0.04314,5.4e-05
0.001359,16.00696,4.679324,1.360086,70500134203.78,0.00423,5.2e-05
0.001762,16.066883,4.696842,1.365177,70764056091.3,0.00374,5e-05
